id,lat,lon,name,address,capacity
277,-23.523347,-46.733747,277 -Carlos Weber 223,277 -Carlos Weber 223,11
278,-23.5262598,-46.7322527,278 - R. Tripoli,278 - R. Tripoli,19
279,-23.6017705717,-46.6940557492,279 – Hotel Transamérica Berrini,279 – Hotel Transamérica Berrini,7
292,-23.5789116092,-46.6408569305,292 - Rua Domingos de Moraes,292 - Rua Domingos de Moraes,19
293,-23.5808426571,-46.6377561804,293 - Metrô Ana Rosa,293 - Metrô Ana Rosa,23
294,-23.5820193374,-46.6384688407,294 - Metrô Ana Rosa II,294 - Metrô Ana Rosa II,19
295,-23.5844511087,-46.6364894394,295 -Vergueiro,295 -Vergueiro,23
297,-23.5819406081,-46.6428930722,296 – Largo Ana Rosa,296 – Largo Ana Rosa,11
298,-23.5845817,-46.6437617751,297 -SESC Vila Mariana,297 -SESC Vila Mariana,19
299,-23.5846096542,-46.6464747604,299 - R. Áurea,299 - R. Áurea,15
300,-23.5825927426,-46.6493501565,300 - Caravelas,300 - Caravelas,15
301,-23.5909147225,-46.6491158964,301 - R. França Pinto,301 - R. França Pinto,15
302,-23.589366,-46.647226,302 - Tangará,302 - Tangará,15
303,-23.5871298486,-46.6432336771,303 - Rio Grande,303 - Rio Grande,15
304,-23.5918790017,-46.6422240651,304 - Gandavo,304 - Gandavo,11
305,-23.5894563364,-46.6397325082,305 - MUBA,305 - MUBA,23
306,-23.5907259301,-46.6367804658,306 - R. Madre Cabrini,306 - R.Madre Cabrini,19
307,-23.5898021306,-46.6350854816,307 - Metrô Vila Mariana,307 - Metrô Vila Mariana,23
308,-23.5950450453,-46.6376374922,308 - R da cunha,308 - R da cunha,15
310,-23.5955211363,-46.6397075663,310 - R. Cel. Lisboa,310 - R. Cel. Lisboa,19
311,-23.5957135456,-46.6430786807,"311 - R. Diogo de Faria , 650","311 - R. Diogo de Faria , 650",18
312,-23.595322039,-46.6488983545,312 - R. DIOGO DE FARIA,312 - R. DIOGO DE FARIA,23
313,-23.5976149401,-46.6527798263,313 – Metrô AACD Servidor,313 – Metrô AACD Servidor,18
314,-23.5986417397,-46.6493199938,314 - R. José Guimarães,314 - R. José Guimarães,19
315,-23.5981107484,-46.6469924962,315 -Metrô Hospital São Paulo,315 -Metrô Hospital São Paulo,19
316,-23.5980337587,-46.6408418883,316 - EMBAÚ,316 - EMBAÚ,19
317,-23.5987326403,-46.6391030551,317 - R. Leonardo Nunes,317 - R. Leonardo Nunes,15
318,-23.6001692074,-46.6624184426,318 – Gabriel Rezende Passos,318 – Gabriel Rezende Passos,15
319,-23.6037621017,-46.6616847899,319 - Metrô Moema,319 - Metrô Moema,27
320,-23.605971,-46.663826,320 - Jandira,320 - Jandira,19
321,-23.603513586,-46.6676509366,321 - Gaivota,321 - Gaivota,23
322,-23.609452587,-46.6681444401,322 - Metrô Eucaliptos,322 - Metrô Eucaliptos,27
323,-23.6084327723,-46.6710134296,323 - Eucaliptos,323 - Eucaliptos,15
324,-23.6053012436,-46.6706867253,324 - Canário,324 - Canário,14
325,-23.6042556584,-46.6742727797,325 - Pintassilgo,325 - Pintassilgo,11
326,-23.6074638826,-46.674330557,326 - Inhambú,326 - Inhambú,19
327,-23.6116694829,-46.6718094594,327 - Arapanés,327 - Arapanés,15
328,-23.6135042883,-46.6773097716,328 - R. Demóstenes,328 - R. Demóstenes,11
329,-23.6080659436,-46.6779440256,329 - Bandeirantes,329 - Bandeirantes,11
331,-23.6081511066,-46.6843444018,331 - Rua Nebrasca,331 - Rua Nebrasca,11
332,-23.6107351221,-46.6804598847,332 - Rua Nova York,332 - Rua Nova York,11
